Open,High,Low,Close,Adj Close,Volume
81200,81300,79400,80000,79644.77344,31949845
80700,80800,78900,78900,78549.65625,22611631
78800,80100,78300,79600,79246.54688,21370190
78300,78700,76300,77600,77255.42969,31317563
77400,77500,75100,76100,75762.08594,30469477
76400,76800,75500,75500,75164.75,18717699
77500,78800,77200,78600,78250.98438,22166150
77300,77500,76300,76300,75961.20313,15549134
77800,77900,76500,76700,76359.42188,12755629
77400,77600,76200,76700,76359.42188,14664474
77000,78500,76600,77500,77155.875,19007007
77600,78600,77300,78000,77653.64844,18900640
79000,79000,77500,77600,77255.42969,13151889
79600,81300,79400,81300,80939,26238868
80800,81400,80500,81300,80939,13089576
81100,81500,79700,79700,79346.10156,18759935
80400,81100,78900,79200,78848.32031,16976124
79400,79900,77600,78400,78051.875,18652344
78600,78800,77900,78300,77952.32031,11763992
80200,80300,78100,78200,77852.76563,20989778
78600,78800,77200,77400,77056.3125,15918201
78100,79100,77900,78900,78549.65625,19456783
78500,79000,78200,78400,78051.875,13690583
78100,78700,77300,77700,77354.98438,19521506
77700,79100,77100,78300,77952.32031,18728087
76800,77000,75700,75900,75562.97656,27891278
75300,78200,74000,77200,76857.20313,43825202
76500,78000,76200,77600,77255.42969,18539072
77700,78200,75200,75200,74866.08594,30244875
74800,75200,73500,73500,73173.63281,28551273
74500,74700,73500,73500,73173.63281,26198776
